G,OPS,wOBA,wRC+,고4,도루,도실,득점,루타,병살,볼넷,사구,삼진,안타,연도,연봉_만원,장타,출루,타석,타수,타율,타점,홈런,희비,희타
140,0.831,0.384,117.0,1,12,15,77,226,15,62,6,70,171,16,7000,31,0.401,599,526,0.325,70,7,2,3
135,0.797,0.36,108.4,0,0,3,62,201,15,57,5,97,128,20,4700,22,0.361,531,461,0.278,67,17,3,5
123,0.808,0.365,112.6,0,14,3,72,151,1,33,6,35,117,20,7000,22,0.387,412,359,0.326,35,2,5,9
123,0.808,0.365,112.6,0,14,3,72,151,1,33,6,35,117,20,5900,22,0.387,412,359,0.326,35,2,5,9
91,0.934,0.411,145.6,0,5,0,38,139,6,26,9,46,83,15,12000,14,0.397,297,259,0.32,51,14,3,0
105,0.866,0.386,122.6,4,11,6,61,161,8,44,3,53,113,15,50000,17,0.402,401,347,0.326,44,10,4,3
143,0.889,0.387,123.8,6,14,10,81,277,12,43,3,74,174,15,90000,36,0.372,591,536,0.325,101,22,9,0
121,0.918,0.405,128.0,3,1,0,54,188,14,81,2,88,106,14,40000,13,0.411,460,371,0.286,90,23,6,0
118,0.823,0.365,108.2,1,1,1,60,207,15,31,8,62,135,15,22000,24,0.357,489,445,0.303,71,16,3,2
106,0.885,0.393,129.3,6,0,0,56,190,4,54,0,99,104,21,47000,17,0.368,429,368,0.283,87,23,7,0
122,0.641,0.308,88.8,0,27,6,64,126,4,48,9,69,101,12,7000,17,0.335,479,412,0.245,34,2,3,7
141,0.829,0.363,110.9,1,3,3,72,216,12,51,17,90,135,17,6800,22,0.371,554,472,0.286,86,19,7,7
127,0.915,0.393,118.3,3,5,1,83,282,10,40,0,77,156,14,80000,30,0.358,548,506,0.308,101,32,2,0
137,0.765,0.347,102.3,0,22,10,88,207,7,35,11,86,164,15,18000,32,0.368,582,521,0.315,35,3,4,11
105,0.857,0.375,111.8,1,2,2,47,174,9,41,11,89,94,14,45000,23,0.36,406,350,0.269,82,19,4,0
112,0.842,0.377,119.7,2,10,10,61,156,11,39,3,48,122,18,8000,25,0.407,405,359,0.34,39,2,2,2
119,0.835,0.374,118.9,2,0,1,33,147,14,48,9,96,91,20,40000,17,0.381,391,324,0.281,59,13,7,3
112,0.716,0.329,95.9,1,0,2,40,147,10,22,8,96,95,11,10000,19,0.314,401,366,0.26,50,11,2,3
86,0.797,0.361,117.3,0,25,10,58,136,4,27,7,38,100,11,17000,15,0.373,371,321,0.312,40,6,4,12
109,0.914,0.397,128.2,6,0,3,55,168,9,65,4,101,97,15,18500,17,0.41,410,333,0.291,64,18,3,5
92,0.894,0.386,119.8,1,10,1,64,196,10,22,3,65,112,14,25000,27,0.352,389,362,0.309,66,19,2,0
117,0.753,0.357,107.3,2,16,2,74,143,5,65,4,40,114,21,40000,22,0.39,475,394,0.289,38,0,6,6
133,0.825,0.373,105.4,1,28,14,92,240,10,28,5,103,176,16,7700,31,0.37,566,527,0.334,72,8,5,1
114,0.951,0.397,134.3,2,0,0,50,182,14,38,19,81,86,18,60000,18,0.377,379,317,0.271,78,26,5,0
115,0.814,0.37,123.6,4,13,3,57,193,8,26,5,71,125,11,35000,22,0.347,450,414,0.302,64,15,4,1
122,0.848,0.372,116.0,0,9,2,78,215,17,31,4,59,136,17,60000,41,0.359,478,440,0.309,70,12,1,2
126,0.773,0.353,95.5,2,22,15,75,185,5,35,2,57,149,14,30000,24,0.372,505,461,0.323,40,1,2,5
115,0.831,0.361,108.7,0,8,7,79,213,2,28,3,57,154,17,15000,28,0.372,512,464,0.332,63,9,3,14
126,0.723,0.341,97.0,2,16,7,73,169,8,55,10,110,117,21,4800,19,0.349,523,452,0.259,63,11,4,2
124,0.794,0.365,120.2,1,0,1,49,185,11,56,1,104,114,11,16200,26,0.354,485,421,0.271,75,15,5,2
109,0.768,0.35,118.0,0,2,1,25,127,12,18,2,54,84,12,38000,11,0.328,320,289,0.291,48,10,8,3
109,0.768,0.35,118.0,0,2,1,25,127,12,18,2,54,84,12,4100,11,0.328,320,289,0.291,48,10,8,3
128,0.752,0.334,91.2,1,15,9,79,192,9,43,11,70,145,15,28000,34,0.361,570,491,0.295,59,2,6,19
124,0.852,0.378,109.7,1,1,0,69,238,8,41,2,91,156,14,21000,39,0.368,541,492,0.317,99,14,6,0
138,0.794,0.36,100.8,0,3,3,66,205,13,33,6,37,153,16,18000,28,0.366,530,479,0.319,65,8,7,5
138,0.794,0.36,100.8,0,3,3,66,205,13,33,6,37,153,16,2700,28,0.366,530,479,0.319,65,8,7,5
88,0.726,0.344,101.1,0,28,14,51,108,10,39,2,26,93,13,18000,12,0.378,363,310,0.3,29,1,4,8
133,0.782,0.345,98.6,2,0,1,59,206,15,43,7,93,133,17,37000,27,0.345,530,472,0.282,78,15,8,0
110,0.764,0.345,105.1,0,0,0,44,136,10,37,6,67,80,20,22500,20,0.338,366,319,0.251,50,12,2,2
85,0.808,0.378,120.9,0,1,1,42,122,12,40,2,43,100,20,45000,19,0.406,351,303,0.33,37,1,5,1
113,0.814,0.357,97.8,0,7,4,69,190,10,34,9,71,121,14,16000,25,0.356,470,415,0.292,66,14,3,9
104,0.725,0.333,106.4,1,0,1,32,117,5,16,2,60,77,12,40000,13,0.313,307,284,0.271,40,9,2,3
101,0.848,0.365,112.5,4,1,0,41,160,12,42,4,59,93,18,65000,7,0.366,380,332,0.28,69,20,2,0
144,0.731,0.325,85.6,0,40,12,96,224,6,50,1,78,162,17,23000,33,0.338,638,570,0.284,54,7,9,8
121,0.734,0.345,106.8,3,4,3,64,165,11,52,4,63,129,11,8800,25,0.365,511,447,0.289,54,3,4,4
100,0.771,0.344,105.7,2,6,5,42,115,6,34,5,44,79,11,25000,18,0.363,340,282,0.28,39,6,4,15
119,0.719,0.345,103.1,0,17,8,58,140,9,58,6,36,119,20,40000,16,0.381,482,415,0.287,32,1,1,2
115,0.809,0.36,100.7,2,12,5,59,160,5,32,12,89,109,16,60000,21,0.371,422,366,0.298,47,10,2,10
141,0.767,0.339,86.5,2,52,15,109,231,6,49,3,87,169,16,15000,38,0.357,641,564,0.3,61,4,3,22
140,0.725,0.337,88.9,0,44,14,86,194,5,53,6,92,165,15,30000,26,0.37,616,546,0.302,37,0,1,10
114,0.714,0.329,90.9,1,6,1,37,117,11,36,8,50,77,13,15500,19,0.338,367,311,0.248,57,7,3,9
128,0.749,0.332,91.5,0,0,0,38,164,15,37,0,63,110,20,13500,15,0.335,449,396,0.278,77,13,6,10
133,0.778,0.361,112.2,1,23,10,77,185,8,90,4,58,132,20,35000,33,0.39,585,476,0.277,51,5,10,5
91,0.809,0.358,111.2,1,7,1,34,124,6,36,3,52,83,17,65000,19,0.371,331,283,0.293,50,7,7,2
135,0.854,0.376,110.4,0,1,2,43,172,9,34,6,55,97,16,5500,17,0.355,387,345,0.281,49,19,1,1
129,0.765,0.341,97.3,0,1,4,49,162,14,31,7,42,118,15,18000,20,0.357,449,397,0.297,48,8,2,12
134,0.795,0.342,96.3,1,16,3,76,198,6,22,0,119,124,18,5000,32,0.327,447,423,0.293,60,13,2,0
81,0.961,0.399,131.4,0,3,0,41,167,0,19,9,80,86,17,23000,17,0.364,318,280,0.307,65,21,5,4
107,0.77,0.346,101.2,2,10,5,47,136,8,45,5,105,91,17,35000,17,0.363,390,334,0.272,39,8,5,1
114,0.865,0.383,121.8,0,4,4,60,207,14,29,4,79,127,20,13500,20,0.359,447,409,0.311,73,20,4,1
115,0.803,0.374,125.4,0,0,1,47,122,9,55,2,57,82,21,5000,15,0.39,361,296,0.277,44,8,3,5
132,0.779,0.368,121.6,0,2,5,70,191,22,53,3,80,145,11,40000,26,0.376,535,474,0.306,67,6,5,0
121,0.733,0.349,104.4,1,4,5,47,131,14,37,7,64,102,13,5000,16,0.365,403,356,0.287,27,4,0,3
127,0.747,0.339,94.5,1,4,1,73,158,10,48,9,42,125,18,28000,19,0.375,492,424,0.295,49,4,5,6
138,0.879,0.375,115.3,0,3,5,108,276,4,52,3,124,153,18,2700,34,0.356,585,527,0.29,84,29,3,0
101,0.753,0.35,110.2,1,8,0,38,148,12,37,9,83,91,11,20000,15,0.338,405,357,0.255,64,14,2,0
101,0.753,0.35,110.2,1,8,0,38,148,12,37,9,83,91,11,7000,15,0.338,405,357,0.255,64,14,2,0
109,0.803,0.361,116.8,1,0,3,59,188,12,32,9,69,122,20,32000,19,0.351,464,416,0.293,88,15,7,0
120,0.775,0.345,102.6,1,31,8,60,172,9,47,4,94,115,15,40000,22,0.356,474,411,0.28,59,11,4,7
121,0.801,0.365,111.7,0,3,0,67,141,5,58,11,70,89,20,13500,16,0.384,418,338,0.263,50,12,5,6
142,0.84,0.368,113.1,0,0,1,90,260,24,33,8,85,168,17,125000,31,0.357,586,538,0.312,105,20,7,0
142,0.84,0.368,113.1,0,0,1,90,260,24,33,8,85,168,17,21000,31,0.357,586,538,0.312,105,20,7,0
103,0.825,0.363,97.8,2,3,2,52,182,15,26,0,73,123,14,7000,24,0.357,421,389,0.316,58,11,2,4
107,0.731,0.331,105.1,4,1,1,36,128,16,30,5,35,87,12,8400,15,0.337,372,325,0.268,42,8,2,10
111,0.703,0.328,95.3,1,2,0,34,130,11,21,14,58,88,21,23000,15,0.324,382,343,0.257,55,9,2,2
116,0.799,0.354,94.3,1,3,1,60,197,10,30,10,80,128,14,18000,31,0.349,486,438,0.292,77,12,3,5
122,0.818,0.347,98.4,3,0,3,69,205,15,19,5,85,122,17,15000,25,0.329,452,419,0.291,65,19,1,8
102,0.898,0.378,117.3,2,1,1,58,199,6,50,6,116,87,17,30000,19,0.344,416,359,0.242,64,31,1,0
120,0.783,0.356,109.7,0,7,9,49,115,4,31,12,58,76,13,6000,25,0.37,334,278,0.273,43,3,1,12
124,0.764,0.346,99.0,2,14,3,49,170,11,35,7,47,118,20,29000,28,0.351,460,412,0.286,54,8,2,4
111,0.688,0.322,91.1,0,3,3,31,102,12,49,5,52,73,11,8500,8,0.353,373,304,0.24,37,7,2,13
128,0.809,0.365,105.6,0,7,3,64,179,9,31,7,75,126,16,5500,23,0.365,451,403,0.313,81,9,8,2
144,0.858,0.375,109.8,3,2,3,68,294,15,25,10,76,179,16,12000,33,0.347,616,576,0.311,100,27,5,0
91,0.768,0.352,106.8,0,9,6,42,97,7,26,0,24,78,13,7000,13,0.377,286,248,0.315,32,1,2,10
119,0.809,0.364,108.5,5,4,3,53,175,10,45,0,48,134,14,60000,21,0.384,468,412,0.325,65,6,9,2
122,0.686,0.318,83.9,0,11,4,54,139,10,38,6,88,100,13,14000,25,0.33,448,390,0.256,42,4,3,11
141,0.798,0.355,103.9,1,22,9,77,217,13,54,10,70,154,18,8500,28,0.375,586,513,0.3,71,11,4,5
104,0.885,0.397,131.9,3,0,2,35,159,10,33,3,92,116,15,30000,19,0.408,373,333,0.348,49,8,4,0
129,0.788,0.337,90.2,5,0,0,46,195,11,29,14,96,115,18,100000,14,0.331,477,427,0.269,71,22,7,0
119,0.831,0.371,115.4,0,9,1,53,183,11,20,9,46,122,20,3800,25,0.358,424,387,0.315,70,12,6,2
70,0.85,0.37,122.5,1,8,2,37,141,4,12,4,48,87,15,50000,19,0.345,299,279,0.312,46,11,4,0
136,0.846,0.367,113.7,2,9,6,64,230,6,39,2,81,148,17,11700,28,0.361,527,474,0.312,90,17,9,3
99,0.759,0.359,114.1,0,2,3,38,101,6,35,8,58,73,21,5500,12,0.377,312,264,0.277,42,5,1,4
124,0.795,0.355,102.4,0,4,2,45,149,14,18,22,70,105,17,2800,23,0.369,399,350,0.3,42,6,3,6
127,0.811,0.374,107.6,1,7,4,64,168,11,53,3,56,123,16,50000,20,0.389,460,398,0.309,65,8,6,0
109,0.888,0.39,128.5,2,0,1,46,171,9,34,5,94,110,17,30000,24,0.388,384,342,0.322,62,12,3,0
94,0.846,0.377,118.2,0,6,6,62,168,11,53,1,63,110,15,45000,21,0.389,429,367,0.3,52,11,1,7
130,0.799,0.359,99.4,3,1,5,49,179,15,43,9,76,119,16,28000,15,0.364,472,411,0.29,64,15,7,2
125,0.718,0.327,86.5,5,17,4,63,162,5,54,3,78,118,15,50000,27,0.35,504,440,0.268,52,5,3,4
