G,OPS,wOBA,wRC+,고4,도루,도실,득점,루타,병살,볼넷,사구,삼진,안타,연도,연봉_만원,장타,출루,타석,타수,타율,타점,홈런,희비,희타
3,0.542,0.304,75.8,0,0,0,0,1,0,2,0,3,1,21,2700,0,0.375,8,6,0.167,1,0,0,0
3,0.542,0.304,75.8,0,0,0,0,1,0,2,0,3,1,21,24000,0,0.375,8,6,0.167,1,0,0,0
63,0.81,0.373,116.9,0,2,1,31,71,2,24,2,47,50,20,4000,8,0.388,197,168,0.298,32,4,2,1
109,0.726,0.328,89.2,3,0,2,41,131,14,46,3,59,77,21,13500,12,0.33,391,331,0.233,57,14,2,9
108,0.848,0.37,111.1,1,3,2,54,174,16,37,8,62,106,15,125000,25,0.366,418,361,0.294,71,14,7,5
108,0.848,0.37,111.1,1,3,2,54,174,16,37,8,62,106,15,16000,25,0.366,418,361,0.294,71,14,7,5
104,0.82,0.365,109.9,0,1,0,40,134,14,32,9,44,95,18,50000,26,0.385,356,308,0.308,52,4,4,3
120,0.751,0.339,94.3,1,0,1,45,163,7,49,2,81,107,20,30000,17,0.342,463,399,0.268,74,13,12,1
97,0.744,0.348,103.8,2,4,3,37,115,7,37,4,48,81,13,11500,13,0.358,344,298,0.272,40,7,2,3
55,0.872,0.399,134.1,1,2,0,25,62,4,29,5,24,35,21,13500,3,0.406,171,133,0.263,26,8,3,1
60,0.896,0.386,128.2,0,0,0,30,100,4,17,9,50,50,17,3600,14,0.359,212,186,0.269,38,12,0,0
89,0.762,0.337,95.0,0,5,0,37,69,0,16,4,55,48,18,10000,12,0.356,194,170,0.282,22,3,1,3
110,0.778,0.357,103.2,0,8,5,45,108,5,53,3,46,74,15,15000,16,0.388,341,277,0.267,33,5,2,6
59,0.841,0.376,118.8,1,0,0,27,82,8,27,2,43,44,21,70000,8,0.361,205,171,0.257,41,10,2,3
100,0.784,0.349,104.7,2,0,3,34,102,6,25,3,34,67,15,11000,18,0.356,270,238,0.282,32,5,1,3
58,0.739,0.336,108.5,0,7,1,33,61,5,13,3,28,40,12,8000,11,0.335,173,151,0.265,26,3,0,5
91,0.735,0.343,106.0,1,2,1,34,98,5,41,0,55,61,21,2700,12,0.346,296,252,0.242,39,8,2,1
131,0.735,0.327,87.0,2,16,9,72,151,3,25,9,84,109,17,6800,21,0.34,425,382,0.285,39,6,5,4
74,0.769,0.348,104.6,1,2,1,38,121,4,27,7,81,75,20,5000,18,0.342,319,283,0.265,42,9,2,0
62,0.871,0.383,121.0,1,2,0,35,98,8,30,6,49,48,20,25000,5,0.364,231,193,0.249,31,15,2,0
99,0.692,0.315,93.7,0,1,0,28,79,1,27,5,34,57,12,7000,16,0.341,274,225,0.253,25,2,4,13
130,0.802,0.348,94.9,0,5,2,60,143,15,30,3,64,81,16,5500,16,0.334,348,306,0.265,51,15,2,7
98,0.664,0.321,85.8,0,0,2,23,66,5,33,3,37,55,13,10000,10,0.357,259,215,0.256,25,0,4,4
114,0.803,0.352,96.1,0,1,1,26,98,8,16,6,46,58,14,6000,18,0.34,238,212,0.274,34,6,1,3
99,0.735,0.341,98.3,1,1,1,22,95,8,18,4,26,81,20,30000,12,0.367,284,258,0.314,36,0,1,3
86,0.655,0.299,82.4,0,4,2,24,95,12,21,4,40,67,12,19700,12,0.306,312,272,0.246,31,5,4,11
140,0.717,0.315,78.6,0,3,2,56,175,16,36,14,66,108,15,40000,26,0.319,508,440,0.245,58,13,5,13
93,0.716,0.326,93.6,1,13,5,37,114,7,33,5,54,77,11,17000,21,0.337,352,301,0.256,39,4,2,11
80,0.767,0.358,115.6,0,0,2,18,68,6,17,2,30,48,11,19000,8,0.36,188,167,0.287,19,4,0,2
80,0.767,0.358,115.6,0,0,2,18,68,6,17,2,30,48,11,2400,8,0.36,188,167,0.287,19,4,0,2
97,0.752,0.329,91.5,0,2,1,41,80,1,19,5,44,57,17,6000,8,0.354,237,201,0.284,26,5,4,8
122,0.733,0.322,76.4,0,14,3,62,173,13,37,0,82,110,14,8600,15,0.32,468,419,0.263,72,16,4,8
122,0.724,0.36,102.6,0,2,5,60,78,4,66,2,62,66,16,3000,8,0.416,325,253,0.261,12,1,1,2
110,0.713,0.334,107.0,1,8,9,32,97,10,38,5,48,76,12,7000,12,0.367,334,281,0.27,29,3,0,10
109,0.905,0.404,131.7,1,3,3,29,89,2,21,3,43,60,16,11000,14,0.408,207,179,0.335,35,5,3,1
103,0.789,0.368,108.1,1,8,5,43,116,4,47,10,81,79,16,15600,14,0.389,350,290,0.272,37,7,3,0
1,2.0,0.944,475.4,0,0,0,0,1,0,0,0,0,1,16,15600,0,1.0,1,1,1.0,0,0,0,0
56,0.791,0.373,120.7,0,0,0,16,76,10,17,5,25,57,13,3700,9,0.38,209,185,0.308,30,3,1,1
116,0.713,0.333,93.6,2,5,4,42,140,10,26,8,45,100,13,7200,20,0.332,405,367,0.272,47,5,3,1
28,0.975,0.432,146.5,0,3,1,20,42,2,17,3,17,27,16,5000,3,0.456,105,81,0.333,16,4,2,2
132,0.757,0.331,93.4,2,3,7,62,192,13,38,6,93,117,17,9000,30,0.326,496,445,0.263,83,14,5,2
74,0.729,0.328,90.1,0,7,2,36,89,4,25,4,54,53,13,15000,15,0.327,261,221,0.24,25,7,1,10
121,0.593,0.282,70.3,2,21,8,57,124,2,43,3,43,105,12,20500,18,0.309,497,437,0.24,39,0,5,9
100,0.777,0.367,117.1,1,0,0,22,89,7,39,0,47,60,13,14500,8,0.376,263,222,0.27,36,7,2,0
112,0.657,0.307,88.2,1,7,8,41,83,8,49,5,58,61,12,12000,12,0.352,344,272,0.224,29,3,1,17
103,0.652,0.307,81.0,0,5,4,18,74,7,23,2,50,62,11,14000,9,0.335,267,233,0.266,27,1,2,7
34,1.11,0.475,186.5,0,3,0,16,33,0,13,3,14,15,21,3000,3,0.463,69,51,0.294,13,5,0,2
72,0.75,0.362,113.6,0,12,2,19,58,2,17,4,21,48,13,4500,7,0.383,180,158,0.304,17,1,1,0
123,0.789,0.348,92.7,2,0,2,59,196,10,22,4,65,136,14,12000,35,0.343,476,440,0.309,73,7,6,4
123,0.789,0.348,92.7,2,0,2,59,196,10,22,4,65,136,14,2600,35,0.343,476,440,0.309,73,7,6,4
104,0.714,0.34,98.4,0,4,2,34,100,8,31,5,40,80,21,19000,9,0.359,325,282,0.284,24,3,5,2
88,0.633,0.302,84.0,0,2,2,25,58,12,29,3,34,53,12,12000,5,0.353,251,207,0.256,15,0,2,10
102,0.715,0.331,104.5,1,5,3,30,90,5,28,2,49,60,12,15000,11,0.332,274,235,0.255,38,6,6,3
101,0.806,0.359,100.8,2,6,1,39,98,4,25,3,43,63,14,5100,12,0.363,252,221,0.285,36,7,2,1
65,0.806,0.381,124.0,0,2,0,19,46,1,16,3,19,38,20,4000,5,0.416,138,118,0.322,10,1,0,1
98,0.808,0.37,103.8,0,16,9,45,92,5,30,3,52,69,16,2700,8,0.395,263,223,0.309,26,4,2,5
127,0.713,0.318,77.2,0,10,3,64,161,8,36,3,101,115,14,20000,25,0.332,478,422,0.273,51,7,3,14
125,0.63,0.291,70.5,0,5,2,40,104,4,28,7,60,79,11,4200,16,0.312,379,327,0.242,39,2,3,14
52,0.946,0.404,143.0,0,1,0,15,54,4,12,4,18,33,17,4200,9,0.412,122,101,0.327,18,4,2,3
119,0.822,0.364,108.7,1,22,14,81,189,10,25,6,81,126,15,7700,29,0.358,443,407,0.31,51,10,1,4
70,0.719,0.341,99.1,0,2,5,24,78,5,26,3,53,59,13,5000,15,0.355,249,214,0.276,24,1,5,1
122,0.79,0.349,92.1,0,5,3,46,142,10,33,2,54,92,14,6200,28,0.352,368,324,0.284,43,6,2,7
82,0.696,0.327,94.1,0,4,4,21,47,2,32,7,38,38,11,3200,5,0.395,209,156,0.244,9,1,0,14
79,0.785,0.369,118.0,1,2,0,15,51,5,13,2,23,37,13,6100,7,0.374,139,124,0.298,32,2,0,0
92,0.704,0.332,105.7,0,3,0,23,74,3,31,1,66,44,12,8500,11,0.33,232,198,0.222,23,6,0,2
85,0.693,0.324,89.4,0,11,7,39,87,6,23,1,38,61,21,34000,17,0.324,264,236,0.258,30,2,2,2
103,0.736,0.326,89.4,2,14,1,37,106,4,25,3,50,69,13,14000,11,0.331,305,262,0.263,36,8,3,12
112,0.731,0.332,97.5,3,7,1,42,115,4,33,8,90,81,11,3200,12,0.352,359,303,0.267,37,7,3,12
81,0.847,0.378,117.8,0,0,1,24,88,5,9,5,24,69,17,7000,13,0.395,213,195,0.354,16,2,1,3
111,0.754,0.326,86.0,0,11,2,49,140,10,29,1,64,84,18,10500,15,0.32,358,323,0.26,45,13,3,2
87,0.708,0.312,91.8,0,5,1,21,71,2,11,1,33,50,12,3500,12,0.318,207,182,0.275,12,2,1,12
124,0.68,0.303,69.6,0,1,2,36,125,10,14,4,32,110,15,21000,11,0.333,400,361,0.305,55,1,5,16
96,0.66,0.302,72.9,0,7,4,43,101,6,23,7,83,72,15,60000,17,0.315,328,293,0.246,31,4,1,4
27,1.048,0.447,163.5,0,3,0,18,40,1,9,1,24,24,18,2700,7,0.442,77,66,0.364,13,3,1,0
135,0.684,0.312,77.8,0,12,7,58,140,4,26,0,57,125,17,9000,12,0.344,448,412,0.303,24,0,1,9
122,0.71,0.323,91.6,5,9,3,54,178,9,42,3,103,114,11,20000,23,0.317,507,453,0.252,53,13,3,6
55,0.884,0.4,140.0,2,0,1,16,56,0,20,3,28,35,13,5000,12,0.406,144,117,0.299,28,3,3,1
106,0.783,0.338,85.2,1,0,1,27,111,5,19,4,66,64,16,7000,18,0.322,273,241,0.266,45,9,6,3
136,0.695,0.311,75.0,1,31,6,79,158,6,33,5,119,116,18,2900,21,0.328,473,430,0.27,45,5,2,3
63,0.874,0.384,118.4,0,3,2,16,67,7,9,1,24,44,16,12500,8,0.37,147,133,0.331,20,5,3,1
93,0.662,0.311,78.9,0,3,1,35,78,5,21,6,38,59,13,18000,15,0.328,268,234,0.252,26,1,1,6
115,0.733,0.326,77.1,1,5,7,58,166,3,18,9,115,113,16,3200,22,0.323,441,405,0.279,57,10,1,8
117,0.644,0.299,75.7,1,9,6,45,136,11,37,3,87,99,11,18000,19,0.31,459,407,0.243,36,6,2,10
137,0.711,0.319,81.0,0,4,1,53,159,9,23,16,85,111,15,14000,15,0.328,466,415,0.267,46,11,3,9
120,0.724,0.324,82.1,0,3,2,49,125,8,30,8,42,99,14,15000,11,0.358,400,341,0.29,31,5,4,17
119,0.767,0.328,85.9,0,5,6,54,155,2,38,5,66,95,18,30000,24,0.339,420,362,0.262,56,12,2,13
81,0.719,0.33,104.3,1,2,2,19,92,4,13,3,34,66,12,5000,19,0.324,256,233,0.283,27,2,4,3
129,0.711,0.321,75.2,0,3,2,36,149,13,12,7,32,116,16,21000,12,0.329,419,390,0.297,50,7,2,8
86,0.77,0.367,114.2,5,1,0,19,82,10,36,7,27,64,21,50000,12,0.401,267,222,0.288,32,2,2,0
65,0.757,0.344,98.1,0,0,0,23,66,5,13,5,53,36,21,5700,9,0.32,171,151,0.238,26,7,0,2
53,0.845,0.383,123.6,0,0,0,28,76,5,28,1,55,45,20,5000,4,0.381,194,164,0.274,32,9,1,0
87,0.709,0.319,87.7,2,2,1,29,114,8,24,4,66,79,20,40000,20,0.325,333,297,0.266,47,5,4,4
128,0.671,0.318,81.7,0,2,2,38,100,5,56,1,64,69,20,3800,14,0.344,369,306,0.225,43,5,3,3
104,0.627,0.292,70.3,0,34,17,56,112,0,30,2,78,88,11,14000,16,0.31,398,354,0.249,24,1,1,11
81,0.826,0.351,101.4,0,2,3,38,143,10,21,2,51,80,18,18500,11,0.328,314,287,0.279,62,17,4,0
36,0.92,0.414,154.2,0,0,2,20,41,4,16,1,16,27,11,9200,8,0.431,105,84,0.321,10,2,1,3
88,0.673,0.301,83.7,0,6,2,28,59,2,12,5,26,39,12,2400,11,0.311,191,163,0.239,14,2,0,11
88,0.673,0.301,83.7,0,6,2,28,59,2,12,5,26,39,12,7000,11,0.311,191,163,0.239,14,2,0,11
72,0.717,0.348,102.8,1,0,0,28,68,5,35,6,32,55,21,10500,7,0.386,251,205,0.268,27,2,3,2
58,0.889,0.398,140.0,0,5,1,29,80,2,9,3,31,54,15,6000,8,0.386,171,159,0.34,22,6,0,0
103,0.754,0.325,86.5,0,2,1,33,111,9,17,3,56,69,17,20000,9,0.32,284,256,0.27,39,11,2,6
104,0.766,0.335,92.3,2,1,3,43,142,5,35,4,58,97,18,13000,20,0.352,391,343,0.283,57,8,4,5
103,0.913,0.392,129.5,0,3,0,20,67,1,19,0,36,35,15,11000,8,0.372,146,124,0.282,35,8,2,1
65,0.905,0.409,130.5,0,0,0,14,46,4,8,4,17,33,14,10000,7,0.421,108,95,0.347,15,2,0,1
89,0.764,0.346,88.2,1,0,0,26,77,10,24,3,51,48,14,10000,8,0.351,214,186,0.258,39,7,1,0
91,0.855,0.367,110.7,1,4,2,33,86,4,16,1,39,53,18,10000,11,0.361,194,174,0.305,26,7,3,0
103,0.816,0.354,103.4,4,1,0,40,145,11,39,15,80,81,18,75000,15,0.36,375,318,0.255,55,16,3,0
77,0.779,0.347,90.9,0,12,2,43,84,0,20,1,46,64,16,3000,6,0.373,238,207,0.309,30,4,0,10
111,0.661,0.308,81.8,0,14,6,37,71,1,21,4,68,47,11,8000,12,0.312,234,203,0.232,20,3,3,3
111,0.661,0.308,81.8,0,14,6,37,71,1,21,4,68,47,11,6200,12,0.312,234,203,0.232,20,3,3,3
70,0.741,0.372,120.7,0,2,0,19,36,4,27,4,18,29,13,15000,6,0.42,143,112,0.259,10,0,0,0
92,0.81,0.357,106.3,1,1,0,39,97,5,19,3,44,66,17,15000,12,0.365,244,218,0.303,26,6,1,3
109,0.725,0.33,91.8,2,21,7,42,114,6,34,0,58,83,13,5000,11,0.346,348,301,0.276,34,5,3,10
75,0.741,0.342,107.4,1,3,1,32,91,9,30,4,59,50,21,20000,11,0.329,256,221,0.226,34,10,0,1
114,0.767,0.327,84.1,1,1,4,33,113,5,19,1,50,69,17,4500,11,0.323,283,254,0.272,44,11,2,6
130,0.816,0.353,101.8,3,0,0,44,173,10,34,5,107,110,18,20000,18,0.356,420,376,0.293,75,15,4,1
65,0.773,0.346,99.0,0,3,5,23,74,5,15,4,22,57,17,7600,11,0.371,209,184,0.31,21,2,2,4
108,0.735,0.337,93.6,0,3,2,38,78,3,18,4,28,70,17,5000,5,0.379,248,219,0.32,16,1,2,5
101,0.807,0.389,132.1,0,16,4,31,29,1,16,2,24,22,21,4500,3,0.426,95,76,0.289,7,1,0,1
104,0.663,0.304,78.4,0,1,1,24,74,4,20,2,38,59,11,11000,11,0.329,257,222,0.266,17,1,2,11
70,0.84,0.382,122.7,2,0,0,11,71,4,29,0,33,45,20,10000,5,0.394,188,159,0.283,24,7,0,0
69,0.668,0.307,88.0,1,5,4,20,70,2,22,3,49,45,12,9500,8,0.313,230,197,0.228,25,5,2,6
36,0.916,0.4,144.2,0,2,1,14,50,2,12,1,22,32,11,3500,7,0.405,117,98,0.327,16,3,0,6
87,0.753,0.348,93.6,0,7,2,34,61,2,36,1,46,42,14,8300,10,0.387,210,167,0.252,15,3,0,6
54,0.669,0.319,96.3,0,0,0,10,44,4,4,4,16,41,12,3000,3,0.343,145,135,0.304,13,0,0,2
127,0.72,0.317,71.1,0,3,1,44,171,18,27,7,93,102,16,14000,26,0.304,454,411,0.248,70,14,3,6
115,0.704,0.31,76.9,0,18,3,48,115,9,27,2,68,79,18,5000,16,0.324,339,303,0.261,31,6,1,6
107,0.685,0.31,78.7,1,0,1,46,134,8,33,6,116,76,20,3300,20,0.298,387,346,0.22,43,12,1,1
72,0.674,0.312,81.2,0,4,1,22,92,3,13,2,66,75,20,14000,11,0.323,281,262,0.286,32,2,2,2
125,0.685,0.304,71.1,0,5,2,53,109,8,39,3,63,76,18,15000,12,0.333,365,310,0.245,37,6,2,11
81,0.708,0.337,101.0,0,6,1,26,58,4,17,3,22,43,11,4500,7,0.348,182,161,0.267,14,2,0,1
125,0.797,0.353,95.5,0,4,0,59,194,7,35,5,99,117,16,40000,20,0.337,468,422,0.277,59,18,4,2
105,0.665,0.314,80.8,1,24,9,52,102,3,46,8,76,85,13,9000,14,0.357,405,332,0.256,19,0,3,16
47,0.741,0.341,97.0,0,4,2,27,56,2,12,1,16,48,17,2700,6,0.37,166,151,0.318,18,0,1,1
25,0.846,0.402,128.1,0,0,1,13,32,3,13,8,12,25,16,5500,4,0.451,104,81,0.309,10,1,0,2
87,0.719,0.326,93.8,1,1,3,36,101,4,32,0,28,73,11,14000,20,0.343,316,269,0.271,30,2,5,10
77,0.724,0.322,76.0,0,5,2,33,88,7,26,0,30,66,14,6800,16,0.35,275,235,0.281,27,2,2,12
103,0.778,0.356,100.0,0,6,9,38,111,3,34,3,49,81,16,2800,11,0.376,320,276,0.293,41,6,1,6
86,0.855,0.374,107.5,0,0,0,29,100,3,11,8,62,57,16,25000,10,0.35,219,198,0.288,29,10,0,2
52,0.868,0.386,127.2,1,1,0,12,41,3,11,0,12,26,14,2700,6,0.385,96,85,0.306,13,3,0,0
112,0.697,0.331,91.8,1,0,0,40,153,12,54,7,59,101,21,55000,24,0.334,485,422,0.239,55,9,2,0
103,0.78,0.342,96.3,0,5,0,23,94,5,18,0,52,62,15,12500,14,0.34,239,214,0.29,35,6,3,4
82,0.751,0.332,89.3,0,1,1,38,79,1,14,2,25,53,14,5800,14,0.333,211,189,0.28,31,4,2,4
108,0.789,0.357,102.5,0,0,2,31,91,6,37,7,52,54,15,8000,13,0.371,267,218,0.248,42,8,2,3
125,0.795,0.356,104.3,0,0,0,43,176,24,49,1,89,119,17,40000,15,0.364,464,409,0.291,82,14,5,0
76,0.942,0.401,124.5,1,0,0,31,115,5,28,3,66,53,16,4200,5,0.364,231,199,0.266,42,19,1,0
75,0.737,0.335,93.0,2,8,3,35,86,10,24,6,45,66,17,9300,14,0.366,266,232,0.284,27,2,0,4
93,0.676,0.313,80.1,1,8,5,41,127,7,23,0,61,102,21,9000,17,0.323,393,360,0.283,36,1,4,6
83,0.718,0.339,102.2,0,4,6,23,86,2,16,9,76,56,11,8500,8,0.329,246,221,0.253,28,7,0,0
83,0.805,0.345,93.5,0,2,4,36,109,4,28,10,58,47,15,5500,12,0.321,268,225,0.209,35,16,2,3
127,0.726,0.32,79.1,0,1,1,41,144,8,32,2,82,92,18,7300,13,0.321,393,356,0.258,48,13,2,1
114,0.733,0.339,102.4,2,2,2,41,147,10,44,1,78,93,11,50000,12,0.333,417,368,0.253,62,14,1,3
90,0.797,0.354,95.6,0,0,1,32,111,7,26,3,64,68,16,40000,12,0.348,282,247,0.275,36,10,3,3
104,0.73,0.333,90.1,0,8,4,47,110,3,27,6,89,88,18,2900,11,0.361,336,298,0.295,40,3,4,1
52,0.885,0.367,112.2,0,5,0,28,60,1,10,0,29,32,16,6500,5,0.344,127,111,0.288,16,7,1,5
124,0.706,0.32,73.2,0,19,10,72,169,7,36,10,104,121,16,6000,21,0.333,514,453,0.267,41,8,2,13
100,0.807,0.356,100.7,0,13,7,27,72,1,11,5,41,54,16,4000,10,0.378,193,168,0.321,18,1,1,8
100,0.807,0.356,100.7,0,13,7,27,72,1,11,5,41,54,16,4400,10,0.378,193,168,0.321,18,1,1,8
56,0.471,0.231,14.9,0,0,0,8,15,1,7,1,14,13,16,4000,2,0.263,82,72,0.181,8,0,0,2
56,0.471,0.231,14.9,0,0,0,8,15,1,7,1,14,13,16,4400,2,0.263,82,72,0.181,8,0,0,2
122,0.53,0.244,25.0,0,1,1,25,48,10,8,7,42,41,16,4000,7,0.275,215,188,0.218,14,0,1,11
122,0.53,0.244,25.0,0,1,1,25,48,10,8,7,42,41,16,4400,7,0.275,215,188,0.218,14,0,1,11
50,0.699,0.333,92.9,0,12,3,30,61,4,22,7,23,47,21,52000,8,0.36,215,180,0.261,18,1,2,4
100,0.705,0.317,76.5,0,0,0,28,101,6,17,7,48,70,16,8100,7,0.321,297,263,0.266,47,8,6,4
128,0.666,0.305,71.1,0,8,0,36,98,8,20,15,61,78,18,8000,17,0.337,341,298,0.262,27,1,2,6
73,0.789,0.344,104.8,1,1,0,25,94,6,17,3,65,57,20,3700,13,0.335,235,207,0.275,31,8,3,5
76,0.741,0.323,75.0,0,0,0,32,73,7,13,5,41,44,14,3400,9,0.321,198,174,0.253,26,6,1,5
107,0.643,0.301,73.1,0,21,3,44,82,0,21,0,26,74,21,2700,5,0.331,296,263,0.281,25,1,3,9
135,0.692,0.312,75.6,0,6,2,51,148,19,29,9,42,115,18,25000,20,0.336,462,415,0.277,55,4,3,6
109,0.612,0.301,83.6,0,6,5,17,43,4,33,2,36,39,12,5000,1,0.359,213,170,0.229,15,1,1,7
77,0.732,0.34,83.1,0,3,1,23,63,4,24,0,40,50,14,20000,9,0.372,203,175,0.286,21,1,0,4
60,0.759,0.348,104.1,0,0,0,12,35,3,6,8,19,24,13,3500,5,0.365,108,89,0.27,8,2,1,4
75,0.775,0.364,102.0,0,7,4,34,83,1,20,6,49,66,16,12000,11,0.385,240,213,0.31,12,1,0,1
115,0.703,0.31,77.3,0,4,0,48,110,10,20,5,41,82,17,20000,13,0.329,334,294,0.279,33,5,6,9
100,0.722,0.309,70.8,0,0,1,36,98,3,18,5,67,56,14,15500,14,0.305,269,235,0.238,39,9,1,10
46,0.784,0.364,128.4,0,0,1,16,46,3,14,1,25,26,12,20000,5,0.342,120,104,0.25,18,5,1,0
85,0.75,0.345,99.5,1,4,0,23,60,3,25,1,45,38,21,4000,10,0.358,183,153,0.248,14,4,0,4
78,0.67,0.324,88.3,0,1,1,27,78,4,40,5,40,61,20,12000,10,0.358,298,250,0.244,25,2,1,2
132,0.785,0.34,92.2,2,4,1,58,206,17,40,4,69,127,18,125000,22,0.337,509,460,0.276,60,19,3,2
132,0.785,0.34,92.2,2,4,1,58,206,17,40,4,69,127,18,31000,22,0.337,509,460,0.276,60,19,3,2
88,0.709,0.328,87.6,0,3,2,44,87,5,26,9,44,70,15,13000,13,0.363,296,252,0.278,24,1,2,7
93,0.759,0.345,98.5,0,8,5,35,113,11,25,4,45,88,15,7000,13,0.367,325,288,0.306,31,4,2,6
26,0.831,0.375,122.5,0,6,4,21,44,1,9,0,22,34,13,2500,5,0.391,114,100,0.34,11,1,1,4
69,0.772,0.361,112.7,1,4,3,23,74,4,33,2,66,43,13,2500,17,0.361,216,180,0.239,27,4,1,0
131,0.728,0.333,89.6,4,9,4,49,139,5,37,13,73,114,17,14000,18,0.372,448,390,0.292,35,2,1,7
103,0.71,0.314,74.8,0,18,5,38,113,4,8,4,58,82,17,5000,17,0.314,303,286,0.287,26,4,1,4
121,0.7,0.331,82.5,0,7,7,48,125,12,43,16,75,97,16,21000,20,0.362,439,370,0.262,46,2,2,8
90,0.763,0.346,94.0,0,3,2,34,48,0,10,3,28,34,16,3000,5,0.356,134,118,0.288,9,3,1,2
62,0.782,0.349,98.3,0,7,3,23,53,2,8,0,24,44,14,2900,9,0.371,144,129,0.341,13,0,3,4
95,0.73,0.331,90.2,0,12,2,33,84,7,7,2,15,76,17,4800,8,0.36,241,227,0.335,15,0,0,5
87,0.691,0.325,85.8,0,7,0,27,61,1,10,4,36,50,21,2900,8,0.34,192,174,0.287,18,1,0,4
121,0.689,0.308,88.5,5,5,2,41,161,10,22,5,64,107,12,7500,23,0.302,459,416,0.257,47,9,1,15
117,0.665,0.306,77.7,0,7,0,43,125,7,37,2,98,82,20,2900,16,0.309,394,351,0.234,47,8,2,2
22,0.847,0.392,130.3,0,0,1,19,39,2,10,1,17,29,20,8500,9,0.404,99,88,0.33,7,0,0,0
47,0.79,0.361,113.3,1,1,0,12,40,3,8,0,9,27,13,5000,6,0.35,100,91,0.297,10,2,1,0
93,0.73,0.348,92.5,0,5,8,53,115,10,51,5,42,86,16,16000,17,0.374,381,323,0.266,22,4,1,1
83,0.729,0.345,101.7,4,0,1,21,88,5,35,2,36,64,13,18000,11,0.363,278,241,0.266,27,4,0,0
116,0.852,0.381,113.9,2,0,0,49,152,14,64,3,102,85,16,40000,10,0.384,396,325,0.262,70,19,4,0
74,0.795,0.361,100.2,0,5,2,31,90,4,19,4,46,65,16,2700,15,0.373,240,213,0.305,29,3,0,4
65,0.784,0.34,92.3,0,3,1,22,72,5,19,1,47,36,15,6000,6,0.316,177,154,0.234,30,10,3,0
98,0.692,0.328,94.8,0,7,2,33,89,1,27,5,76,60,11,5500,11,0.329,280,245,0.245,34,6,3,0
94,0.663,0.322,98.2,0,5,2,16,54,7,29,3,41,40,12,4000,4,0.351,208,173,0.231,20,3,0,3
97,0.724,0.323,91.7,1,3,2,27,91,6,22,1,35,65,11,19000,16,0.337,273,235,0.277,24,3,3,12
41,0.88,0.397,138.8,0,4,2,13,32,4,6,3,22,22,15,15000,1,0.403,77,67,0.328,11,3,1,0
128,0.683,0.314,77.7,0,7,2,52,71,3,29,10,43,61,18,9500,7,0.372,280,228,0.268,29,1,2,11
97,0.78,0.339,98.2,1,1,1,43,86,2,19,1,32,56,17,4700,13,0.346,224,198,0.283,31,5,2,4
78,0.64,0.288,74.3,1,0,2,13,62,3,15,4,61,38,12,13000,12,0.288,206,176,0.216,24,4,3,8
96,0.76,0.343,88.3,1,1,0,45,123,5,28,0,32,93,16,8000,13,0.358,344,306,0.304,36,5,4,6
104,0.726,0.339,96.8,2,8,2,43,127,10,30,13,56,88,21,3800,18,0.346,383,334,0.263,35,7,2,4
131,0.663,0.307,75.7,0,1,1,34,109,10,30,5,26,92,20,21000,10,0.34,385,337,0.273,24,2,2,11
76,0.666,0.311,91.2,0,1,2,35,89,5,26,0,21,65,12,20000,17,0.319,290,257,0.253,22,2,2,5
101,0.595,0.266,59.3,1,24,6,46,99,5,18,3,46,74,12,9000,18,0.281,357,315,0.235,32,0,2,19
84,0.659,0.308,78.8,0,1,0,27,63,4,10,4,48,45,21,3000,10,0.303,195,177,0.254,13,2,4,0
37,0.824,0.369,112.0,0,2,0,28,60,1,12,3,19,48,18,38000,12,0.399,160,141,0.34,15,0,2,2
97,0.663,0.308,81.4,0,3,2,31,67,5,15,5,33,49,11,6000,9,0.319,222,195,0.251,19,3,1,6
122,0.674,0.31,71.7,0,2,8,50,111,14,54,2,59,86,14,11700,15,0.348,421,341,0.252,54,3,11,13
92,0.714,0.323,85.4,0,15,6,33,90,6,13,6,46,62,20,9500,12,0.324,254,231,0.268,33,5,0,4
60,0.761,0.341,94.5,0,4,0,18,47,2,10,3,38,34,17,2800,8,0.359,133,117,0.291,16,1,1,2
93,0.713,0.32,89.6,0,5,5,34,82,4,33,0,33,61,11,5000,15,0.355,281,229,0.266,24,0,3,16
67,0.735,0.359,111.6,0,0,0,14,39,3,20,3,29,34,13,5800,5,0.401,143,117,0.291,17,0,2,1
88,0.72,0.335,85.2,0,1,1,17,52,2,21,2,38,37,16,3000,9,0.359,170,144,0.257,14,2,0,3
67,0.622,0.305,79.2,0,0,0,19,36,2,24,1,26,24,11,32500,3,0.329,150,123,0.195,16,3,1,1
87,0.638,0.302,84.4,1,19,9,37,63,1,29,5,42,44,12,4200,10,0.328,244,203,0.217,9,2,1,6
25,0.964,0.425,155.7,0,1,1,13,22,3,1,5,6,16,20,10500,3,0.44,51,42,0.381,5,1,2,1
54,0.681,0.322,84.2,0,4,2,18,37,4,18,4,40,28,15,4000,6,0.362,141,116,0.241,8,1,0,3
88,0.754,0.347,94.3,0,8,4,29,57,1,8,7,48,51,16,3000,5,0.386,177,155,0.329,11,0,1,6
93,0.713,0.336,100.6,0,3,0,9,54,5,9,6,31,41,11,2700,13,0.346,164,147,0.279,17,0,0,2
87,0.673,0.315,83.5,0,8,5,42,102,7,35,4,41,78,20,28000,13,0.336,350,303,0.257,36,3,6,2
